model,mean_absolute_deviation,mean_absolute_percentage_error,r2_score
xgboost,50.90544891357422,0.49094343185424805,0.8861533403396606
random_forest,53.47151757590758,0.35438261644584584,0.8689596791755501
gradient_boosting,57.00263238279022,0.6084429656227595,0.8604221780478787
linear_regression,98.69053706265274,2.113512399042232,0.6316339439023229
